roll_no,gender,race_ethnicity,parental_level_of_education,test_preparation_course,score_id,grade_id
std-2648,male,"group D","master's degree",False,2648,2648
std-2649,male,"group D","bachelor's degree",True,2649,2649
std-265,male,"group D","some college",True,265,265
std-2650,male,"group C","bachelor's degree",False,2650,2650
std-2651,male,"group B","some college",True,2651,2651
std-2652,male,"group C","bachelor's degree",False,2652,2652
std-2653,male,"group B","bachelor's degree",False,2653,2653
std-2654,male,"group E","bachelor's degree",True,2654,2654
std-2655,male,"group C","high school",False,2655,2655
std-2656,male,"group D","some high school",False,2656,2656
std-2657,male,"group E","associate's degree",False,2657,2657
std-2658,male,"group A","high school",False,2658,2658
std-2659,male,"group D","some college",False,2659,2659
std-266,male,"group E","high school",False,266,266
std-2660,male,"group D","high school",True,2660,2660
std-2661,male,"group C","high school",True,2661,2661
std-2662,male,"group D","bachelor's degree",True,2662,2662
std-2663,male,"group D","associate's degree",True,2663,2663
std-2664,male,"group C","some high school",False,2664,2664
std-2665,male,"group D","bachelor's degree",True,2665,2665
std-2666,male,"group D","associate's degree",False,2666,2666
std-2667,male,"group D","high school",False,2667,2667
std-2668,male,"group B","some college",True,2668,2668
std-2669,male,"group D","some high school",True,2669,2669
std-267,male,"group D","associate's degree",False,267,267
std-2670,male,"group C","associate's degree",True,2670,2670
std-2671,male,"group C","some high school",True,2671,2671
std-2672,male,"group D","high school",True,2672,2672
std-2673,male,"group D","associate's degree",False,2673,2673
std-2674,male,"group D","master's degree",False,2674,2674
std-2675,male,"group E","high school",True,2675,2675
std-2676,male,"group B","some high school",True,2676,2676
std-2677,male,"group C","high school",True,2677,2677
std-2678,male,"group D","some college",False,2678,2678
std-2679,male,"group E","associate's degree",True,2679,2679
std-268,male,"group C","associate's degree",True,268,268
std-2680,male,"group E","high school",False,2680,2680
std-2681,male,"group C","high school",False,2681,2681
std-2682,male,"group C","high school",False,2682,2682
std-2683,male,"group C","high school",True,2683,2683
std-2684,male,"group B","some college",False,2684,2684
std-2685,male,"group D","some college",False,2685,2685
std-2686,male,"group B","bachelor's degree",False,2686,2686
std-2687,male,"group C","high school",True,2687,2687
std-2688,male,"group D","master's degree",True,2688,2688
std-2689,male,"group D","associate's degree",False,2689,2689
std-269,male,"group D","associate's degree",False,269,269
std-2690,male,"group C","some high school",False,2690,2690
std-2691,male,"group D","some college",False,2691,2691
std-2692,male,"group E","associate's degree",False,2692,2692
std-2693,male,"group E","high school",False,2693,2693
std-2694,male,"group E","high school",True,2694,2694
std-2695,male,"group D","high school",False,2695,2695
std-2696,male,"group D","high school",True,2696,2696
std-2697,male,"group A","some college",False,2697,2697
std-2698,male,"group D","high school",False,2698,2698
std-2699,male,"group D","some high school",True,2699,2699
std-27,female,"group C","some high school",False,27,27
std-270,male,"group C","some high school",False,270,270
std-2700,male,"group C","associate's degree",False,2700,2700
std-2701,male,"group B","high school",True,2701,2701
std-2702,male,"group B","high school",False,2702,2702
std-2703,male,"group B","some high school",False,2703,2703
std-2704,male,"group C","some college",False,2704,2704
std-2705,male,"group D","high school",False,2705,2705
std-2706,male,"group B","bachelor's degree",False,2706,2706
std-2707,male,"group E","some college",True,2707,2707
std-2708,male,"group C","bachelor's degree",True,2708,2708
std-2709,male,"group B","some college",True,2709,2709
std-271,male,"group A","high school",True,271,271
std-2710,male,"group B","some high school",True,2710,2710
std-2711,male,"group C","high school",False,2711,2711
std-2712,male,"group D","master's degree",False,2712,2712
std-2713,male,"group D","high school",True,2713,2713
std-2714,male,"group B","bachelor's degree",True,2714,2714
std-2715,male,"group D","some college",True,2715,2715
std-2716,male,"group C","some college",False,2716,2716
std-2717,male,"group B","high school",False,2717,2717
std-2718,male,"group B","bachelor's degree",False,2718,2718
std-2719,male,"group E","high school",False,2719,2719
std-272,male,"group E","some high school",False,272,272
std-2720,male,"group E","bachelor's degree",True,2720,2720
std-2721,male,"group A","high school",False,2721,2721
std-2722,male,"group C","some college",False,2722,2722
std-2723,male,"group A","some high school",False,2723,2723
std-2724,male,"group E","associate's degree",False,2724,2724
std-2725,male,"group D","master's degree",True,2725,2725
std-2726,male,"group D","associate's degree",False,2726,2726
std-2727,male,"group D","bachelor's degree",False,2727,2727
std-2728,male,"group C","associate's degree",False,2728,2728
std-2729,male,"group C","master's degree",False,2729,2729
std-273,male,"group D","bachelor's degree",False,273,273
std-2730,male,"group B","some high school",True,2730,2730
std-2731,male,"group D","high school",False,2731,2731
std-2732,male,"group B","some high school",False,2732,2732
std-2733,male,"group E","some high school",True,2733,2733
std-2734,male,"group E","master's degree",False,2734,2734
std-2735,male,"group E","some college",True,2735,2735
std-2736,male,"group D","associate's degree",False,2736,2736
std-2737,male,"group A","some high school",True,2737,2737
std-2738,male,"group B","some college",False,2738,2738
std-2739,male,"group D","bachelor's degree",True,2739,2739
std-274,male,"group A","master's degree",False,274,274
std-2740,male,"group C","associate's degree",True,2740,2740
std-2741,male,"group E","some college",False,2741,2741
std-2742,male,"group C","some college",False,2742,2742
std-2743,male,"group D","associate's degree",False,2743,2743
std-2744,male,"group B","associate's degree",False,2744,2744
std-2745,male,"group D","bachelor's degree",True,2745,2745
std-2746,male,"group A","high school",False,2746,2746
std-2747,male,"group E","some college",True,2747,2747
std-2748,male,"group C","some college",False,2748,2748
std-2749,male,"group B","some college",False,2749,2749
std-275,male,"group B","high school",False,275,275
std-2750,male,"group E","some high school",False,2750,2750
std-2751,male,"group B","high school",False,2751,2751
std-2752,male,"group D","associate's degree",False,2752,2752
std-2753,male,"group C","associate's degree",True,2753,2753
std-2754,male,"group D","some high school",True,2754,2754
std-2755,male,"group B","some high school",True,2755,2755
std-2756,male,"group E","some college",False,2756,2756
std-2757,male,"group B","some college",True,2757,2757
std-2758,male,"group E","bachelor's degree",False,2758,2758
std-2759,male,"group D","associate's degree",False,2759,2759
std-276,male,"group B","master's degree",False,276,276
std-2760,male,"group B","some college",False,2760,2760
std-2761,male,"group C","associate's degree",True,2761,2761
std-2762,male,"group C","high school",False,2762,2762
std-2763,male,"group E","associate's degree",True,2763,2763
std-2764,male,"group C","some high school",False,2764,2764
std-2765,male,"group B","associate's degree",False,2765,2765
std-2766,male,"group A","bachelor's degree",False,2766,2766
std-2767,male,"group B","some college",False,2767,2767
std-2768,male,"group B","master's degree",True,2768,2768
std-2769,male,"group C","high school",False,2769,2769
std-277,male,"group D","bachelor's degree",True,277,277
std-2770,male,"group D","some college",False,2770,2770
std-2771,male,"group B","associate's degree",False,2771,2771
std-2772,male,"group D","master's degree",True,2772,2772
std-2773,male,"group D","high school",False,2773,2773
std-2774,male,"group C","associate's degree",False,2774,2774
std-2775,male,"group E","some college",False,2775,2775
std-2776,male,"group B","high school",False,2776,2776
std-2777,male,"group E","bachelor's degree",True,2777,2777
std-2778,male,"group D","some college",False,2778,2778
std-2779,male,"group D","bachelor's degree",True,2779,2779
std-278,male,"group B","associate's degree",False,278,278
std-2780,male,"group E","some college",False,2780,2780
std-2781,male,"group A","some college",False,2781,2781
std-2782,male,"group C","high school",False,2782,2782
std-2783,male,"group B","high school",True,2783,2783
std-2784,male,"group A","some college",False,2784,2784
std-2785,male,"group C","high school",True,2785,2785
std-2786,male,"group E","some college",True,2786,2786
std-2787,male,"group C","some high school",True,2787,2787
std-2788,male,"group D","some high school",False,2788,2788
std-2789,male,"group C","high school",True,2789,2789
std-279,male,"group D","some college",False,279,279
std-2790,male,"group B","some high school",True,2790,2790
std-2791,male,"group A","high school",False,2791,2791
std-2792,male,"group C","high school",False,2792,2792
std-2793,male,"group C","associate's degree",True,2793,2793
std-2794,male,"group C","associate's degree",False,2794,2794
std-2795,male,"group D","some college",True,2795,2795
std-2796,male,"group D","bachelor's degree",False,2796,2796
std-2797,male,"group D","high school",False,2797,2797
std-2798,male,"group D","associate's degree",False,2798,2798
std-2799,male,"group C","some high school",True,2799,2799
std-28,male,"group B","high school",False,28,28
std-280,male,"group C","bachelor's degree",False,280,280
std-2800,male,"group D","some high school",True,2800,2800
std-2801,male,"group C","bachelor's degree",True,2801,2801
std-2802,male,"group D","high school",False,2802,2802
std-2803,male,"group E","some college",False,2803,2803
std-2804,male,"group C","bachelor's degree",False,2804,2804
std-2805,male,"group A","some college",False,2805,2805
std-2806,male,"group D","associate's degree",True,2806,2806
std-2807,male,"group E","some high school",True,2807,2807
std-2808,male,"group D","high school",False,2808,2808
std-2809,male,"group B","some college",True,2809,2809
std-281,male,"group B","high school",False,281,281
std-2810,male,"group C","some college",False,2810,2810
std-2811,male,"group A","bachelor's degree",True,2811,2811
std-2812,male,"group D","some college",True,2812,2812
std-2813,male,"group C","associate's degree",True,2813,2813
std-2814,male,"group B","high school",False,2814,2814
std-2815,male,"group C","some high school",True,2815,2815
std-2816,male,"group D","some high school",False,2816,2816
std-2817,male,"group C","bachelor's degree",False,2817,2817
std-2818,male,"group C","some college",False,2818,2818
std-2819,male,"group D","high school",False,2819,2819
std-282,male,"group D","high school",True,282,282
std-2820,male,"group A","some high school",True,2820,2820
std-2821,male,"group B","associate's degree",False,2821,2821
std-2822,male,"group B","some high school",True,2822,2822
std-2823,male,"group D","master's degree",False,2823,2823
std-2824,male,"group C","high school",False,2824,2824
std-2825,male,"group C","high school",False,2825,2825
std-2826,male,"group E","some high school",True,2826,2826
std-2827,male,"group D","some college",True,2827,2827
std-2828,male,"group C","some college",True,2828,2828
std-2829,male,"group B","high school",False,2829,2829
std-283,male,"group D","bachelor's degree",False,283,283
std-2830,male,"group C","associate's degree",True,2830,2830
std-2831,male,"group B","associate's degree",False,2831,2831
std-2832,male,"group D","master's degree",True,2832,2832
std-2833,male,"group D","some college",False,2833,2833
std-2834,male,"group C","high school",False,2834,2834
std-2835,male,"group E","associate's degree",False,2835,2835
std-2836,male,"group D","high school",False,2836,2836
std-2837,male,"group D","associate's degree",False,2837,2837
std-2838,male,"group C","associate's degree",False,2838,2838
std-2839,male,"group D","some high school",False,2839,2839
std-284,male,"group D","associate's degree",False,284,284
std-2840,male,"group B","high school",False,2840,2840
std-2841,male,"group D","some college",False,2841,2841
std-2842,male,"group C","some high school",False,2842,2842
std-2843,male,"group D","high school",True,2843,2843
std-2844,male,"group E","some college",False,2844,2844
std-2845,male,"group B","high school",False,2845,2845
std-2846,male,"group C","high school",True,2846,2846
std-2847,male,"group D","bachelor's degree",False,2847,2847
std-2848,male,"group E","associate's degree",False,2848,2848
std-2849,male,"group A","associate's degree",False,2849,2849
std-285,male,"group C","bachelor's degree",True,285,285
std-2850,male,"group B","high school",False,2850,2850
std-2851,male,"group A","associate's degree",False,2851,2851
std-2852,male,"group E","some high school",False,2852,2852
std-2853,male,"group B","master's degree",True,2853,2853
std-2854,male,"group E","bachelor's degree",True,2854,2854
std-2855,male,"group B","high school",False,2855,2855
std-2856,male,"group A","some college",True,2856,2856
std-2857,male,"group C","associate's degree",False,2857,2857
std-2858,male,"group D","bachelor's degree",True,2858,2858
std-2859,male,"group C","master's degree",False,2859,2859
std-286,male,"group D","some college",False,286,286
std-2860,male,"group C","high school",False,2860,2860
std-2861,male,"group C","bachelor's degree",False,2861,2861
std-2862,male,"group C","master's degree",False,2862,2862
std-2863,male,"group C","some college",False,2863,2863
std-2864,male,"group E","high school",False,2864,2864
std-2865,male,"group C","master's degree",True,2865,2865
std-2866,male,"group B","some college",True,2866,2866
std-2867,male,"group D","associate's degree",False,2867,2867
std-2868,male,"group C","associate's degree",False,2868,2868
std-2869,male,"group E","some high school",False,2869,2869
std-287,male,"group E","some college",True,287,287
std-2870,male,"group A","some high school",True,2870,2870
std-2871,male,"group D","high school",True,2871,2871
std-2872,male,"group C","associate's degree",True,2872,2872
std-2873,male,"group D","some high school",False,2873,2873
std-2874,male,"group E","some college",False,2874,2874
std-2875,male,"group D","bachelor's degree",True,2875,2875
std-2876,male,"group B","master's degree",False,2876,2876
std-2877,male,"group D","associate's degree",True,2877,2877
std-2878,male,"group B","high school",False,2878,2878
std-2879,male,"group C","associate's degree",False,2879,2879
std-288,male,"group C","high school",False,288,288
std-2880,male,"group B","high school",False,2880,2880
std-2881,male,"group E","master's degree",False,2881,2881
std-2882,male,"group C","bachelor's degree",False,2882,2882
std-2883,male,"group C","bachelor's degree",False,2883,2883
std-2884,male,"group C","some college",True,2884,2884
std-2885,male,"group A","some college",False,2885,2885
std-2886,male,"group D","high school",False,2886,2886
std-2887,male,"group B","some college",True,2887,2887
std-2888,male,"group C","high school",False,2888,2888
std-2889,male,"group D","some college",True,2889,2889
std-289,male,"group B","bachelor's degree",False,289,289
std-2890,male,"group E","master's degree",True,2890,2890
std-2891,male,"group B","associate's degree",False,2891,2891
std-2892,male,"group D","associate's degree",False,2892,2892
std-2893,male,"group D","some college",False,2893,2893
std-2894,male,"group C","some college",False,2894,2894
std-2895,male,"group D","associate's degree",False,2895,2895
std-2896,male,"group C","master's degree",True,2896,2896
std-2897,male,"group A","master's degree",False,2897,2897
std-2898,male,"group D","some high school",False,2898,2898
std-2899,male,"group C","associate's degree",False,2899,2899
std-29,male,"group D","associate's degree",False,29,29
std-290,male,"group B","high school",False,290,290
std-2900,male,"group A","some college",False,2900,2900
std-2901,male,"group D","bachelor's degree",False,2901,2901
std-2902,male,"group C","master's degree",True,2902,2902
std-2903,male,"group C","some college",False,2903,2903
std-2904,male,"group B","high school",False,2904,2904
std-2905,male,"group D","bachelor's degree",False,2905,2905
std-2906,male,"group B","some college",True,2906,2906
std-2907,male,"group B","some college",True,2907,2907
std-2908,male,"group C","bachelor's degree",False,2908,2908
std-2909,male,"group C","high school",False,2909,2909
std-291,male,"group B","master's degree",False,291,291
std-2910,male,"group D","some high school",True,2910,2910
std-2911,male,"group C","some college",False,2911,2911
std-2912,male,"group E","bachelor's degree",True,2912,2912
std-2913,male,"group D","some college",True,2913,2913
std-2914,male,"group D","high school",False,2914,2914
std-2915,male,"group D","associate's degree",True,2915,2915
std-2916,male,"group B","high school",False,2916,2916
std-2917,male,"group C","some college",False,2917,2917
std-2918,male,"group E","high school",False,2918,2918
std-2919,male,"group D","high school",False,2919,2919
std-292,male,"group D","associate's degree",False,292,292
std-2920,male,"group D","high school",False,2920,2920
std-2921,male,"group E","bachelor's degree",True,2921,2921
std-2922,male,"group C","some college",False,2922,2922
std-2923,male,"group B","associate's degree",False,2923,2923
std-2924,male,"group B","high school",False,2924,2924
std-2925,male,"group B","some high school",False,2925,2925
std-2926,male,"group D","some college",False,2926,2926
std-2927,male,"group E","some college",True,2927,2927
std-2928,male,"group A","high school",False,2928,2928
std-2929,male,"group B","some college",False,2929,2929
std-293,male,"group D","bachelor's degree",True,293,293
std-2930,male,"group B","some college",False,2930,2930
std-2931,male,"group D","some college",False,2931,2931
std-2932,male,"group C","some high school",True,2932,2932
std-2933,male,"group E","some college",False,2933,2933
std-2934,male,"group E","high school",True,2934,2934
std-2935,male,"group B","high school",False,2935,2935
std-2936,male,"group C","some college",True,2936,2936
std-2937,male,"group E","master's degree",False,2937,2937
std-2938,male,"group D","associate's degree",False,2938,2938
std-2939,male,"group D","associate's degree",False,2939,2939
std-294,male,"group E","bachelor's degree",False,294,294
std-2940,male,"group D","bachelor's degree",True,2940,2940
std-2941,male,"group B","high school",False,2941,2941
std-2942,male,"group E","some college",True,2942,2942
std-2943,male,"group B","bachelor's degree",True,2943,2943
std-2944,male,"group E","some high school",False,2944,2944
std-2945,male,"group C","bachelor's degree",False,2945,2945
std-2946,male,"group B","some college",False,2946,2946
std-2947,male,"group C","bachelor's degree",True,2947,2947
std-2948,male,"group D","associate's degree",False,2948,2948
std-2949,male,"group D","master's degree",False,2949,2949
std-295,male,"group D","master's degree",True,295,295
std-2950,male,"group C","bachelor's degree",False,2950,2950
std-2951,male,"group E","associate's degree",True,2951,2951
std-2952,male,"group A","some college",False,2952,2952
std-2953,male,"group D","bachelor's degree",True,2953,2953
std-2954,male,"group B","some high school",True,2954,2954
std-2955,male,"group D","high school",False,2955,2955
std-2956,male,"group C","some college",True,2956,2956
std-2957,male,"group D","associate's degree",True,2957,2957
std-2958,male,"group C","high school",True,2958,2958
std-2959,male,"group B","some high school",False,2959,2959
std-296,male,"group C","associate's degree",True,296,296
std-2960,male,"group C","high school",False,2960,2960
std-2961,male,"group B","bachelor's degree",True,2961,2961
std-2962,male,"group E","bachelor's degree",True,2962,2962
std-2963,male,"group D","bachelor's degree",False,2963,2963
std-2964,male,"group C","some college",True,2964,2964
std-2965,male,"group B","associate's degree",False,2965,2965
std-2966,male,"group E","bachelor's degree",False,2966,2966
std-2967,male,"group C","some college",False,2967,2967
std-2968,male,"group C","some college",False,2968,2968
std-2969,male,"group D","high school",True,2969,2969
std-297,male,"group B","associate's degree",False,297,297
std-2970,male,"group E","master's degree",True,2970,2970
std-2971,male,"group E","high school",False,2971,2971
std-2972,male,"group E","some high school",False,2972,2972
std-2973,male,"group A","high school",False,2973,2973
std-2974,male,"group D","associate's degree",False,2974,2974
std-2975,male,"group D","master's degree",True,2975,2975
std-2976,male,"group D","bachelor's degree",False,2976,2976
std-2977,male,"group C","bachelor's degree",False,2977,2977
std-2978,male,"group B","some high school",True,2978,2978
std-2979,male,"group B","some college",False,2979,2979
std-298,male,"group C","bachelor's degree",False,298,298
std-2980,male,"group D","some college",True,2980,2980
std-2981,male,"group B","high school",True,2981,2981
std-2982,male,"group C","bachelor's degree",True,2982,2982
std-2983,male,"group C","bachelor's degree",True,2983,2983
std-2984,male,"group D","high school",False,2984,2984
std-2985,male,"group D","some high school",False,2985,2985
std-2986,male,"group D","bachelor's degree",False,2986,2986
std-2987,male,"group E","some high school",False,2987,2987
std-2988,male,"group C","some high school",True,2988,2988
std-2989,male,"group B","high school",False,2989,2989
std-299,male,"group B","bachelor's degree",False,299,299
std-2990,male,"group D","associate's degree",False,2990,2990
std-2991,male,"group D","high school",True,2991,2991
std-2992,male,"group C","some college",False,2992,2992
std-2993,male,"group B","some high school",True,2993,2993
std-2994,male,"group B","associate's degree",False,2994,2994
std-2995,male,"group A","associate's degree",True,2995,2995
std-2996,male,"group C","associate's degree",False,2996,2996
std-2997,male,"group E","some college",False,2997,2997
std-2998,male,"group B","some college",False,2998,2998
std-2999,male,"group C","bachelor's degree",False,2999,2999
std-30,male,"group E","high school",True,30,30
std-300,male,"group C","high school",False,300,300
std-3000,male,"group D","some high school",False,3000,3000
std-3001,male,"group C","high school",False,3001,3001
std-3002,male,"group D","associate's degree",False,3002,3002
std-3003,male,"group D","associate's degree",True,3003,3003
std-3004,male,"group C","high school",True,3004,3004
std-3005,male,"group E","bachelor's degree",True,3005,3005
std-3006,male,"group C","high school",False,3006,3006
std-3007,male,"group B","some college",False,3007,3007
std-3008,male,"group C","bachelor's degree",True,3008,3008
std-3009,male,"group A","associate's degree",False,3009,3009
std-301,male,"group D","master's degree",False,301,301
std-3010,male,"group B","some high school",False,3010,3010
std-3011,male,"group B","bachelor's degree",True,3011,3011
std-3012,male,"group C","associate's degree",True,3012,3012
std-3013,male,"group C","master's degree",True,3013,3013
std-3014,male,"group D","high school",False,3014,3014
std-3015,male,"group B","high school",False,3015,3015
std-3016,male,"group E","master's degree",True,3016,3016
std-3017,male,"group D","master's degree",False,3017,3017
std-3018,male,"group D","high school",False,3018,3018
std-3019,male,"group D","associate's degree",False,3019,3019
std-302,male,"group C","some high school",False,302,302
std-3020,male,"group B","bachelor's degree",True,3020,3020
std-3021,male,"group C","some high school",False,3021,3021
std-3022,male,"group C","some college",True,3022,3022
std-3023,male,"group B","associate's degree",False,3023,3023
std-3024,male,"group C","master's degree",False,3024,3024
std-3025,male,"group C","associate's degree",False,3025,3025
std-3026,male,"group B","high school",False,3026,3026
std-3027,male,"group B","high school",True,3027,3027
std-3028,male,"group E","high school",False,3028,3028
std-3029,male,"group B","associate's degree",False,3029,3029
std-303,male,"group D","bachelor's degree",False,303,303
std-3030,male,"group B","high school",True,3030,3030
std-3031,male,"group E","associate's degree",False,3031,3031
std-3032,male,"group D","bachelor's degree",False,3032,3032
std-3033,male,"group C","some high school",False,3033,3033
std-3034,male,"group A","associate's degree",False,3034,3034
std-3035,male,"group A","high school",False,3035,3035
std-3036,male,"group A","high school",False,3036,3036
std-3037,male,"group B","some college",False,3037,3037
std-3038,male,"group C","some college",False,3038,3038
std-3039,male,"group D","some college",True,3039,3039
std-304,male,"group A","associate's degree",True,304,304
std-3040,male,"group D","associate's degree",False,3040,3040
std-3041,male,"group C","associate's degree",True,3041,3041
std-3042,male,"group D","some college",False,3042,3042
std-3043,male,"group D","bachelor's degree",False,3043,3043
std-3044,male,"group C","high school",False,3044,3044
std-3045,male,"group B","some college",False,3045,3045
std-3046,male,"group D","some high school",True,3046,3046
std-3047,male,"group E","some college",True,3047,3047
std-3048,male,"group C","some college",False,3048,3048
std-3049,male,"group C","high school",True,3049,3049
std-305,male,"group B","high school",True,305,305
std-3050,male,"group A","high school",False,3050,3050
std-3051,male,"group C","high school",False,3051,3051
std-3052,male,"group B","some college",True,3052,3052
std-3053,male,"group A","high school",True,3053,3053
std-3054,male,"group D","high school",False,3054,3054
std-3055,male,"group D","high school",False,3055,3055
std-3056,male,"group C","high school",False,3056,3056
std-3057,male,"group D","some college",False,3057,3057
std-3058,male,"group C","some college",True,3058,3058
std-3059,male,"group E","master's degree",False,3059,3059
std-306,male,"group B","high school",False,306,306
std-3060,male,"group A","bachelor's degree",False,3060,3060
std-3061,male,"group B","associate's degree",False,3061,3061
std-3062,male,"group D","master's degree",False,3062,3062
std-3063,male,"group C","high school",False,3063,3063
std-3064,male,"group D","some high school",False,3064,3064
std-3065,male,"group E","some college",False,3065,3065
std-3066,male,"group D","some high school",True,3066,3066
std-3067,male,"group D","bachelor's degree",False,3067,3067
std-3068,male,"group C","some college",True,3068,3068
std-3069,male,"group D","some college",True,3069,3069
std-307,male,"group A","bachelor's degree",True,307,307
std-3070,male,"group D","master's degree",True,3070,3070
std-3071,male,"group C","associate's degree",False,3071,3071
std-3072,male,"group D","some college",False,3072,3072
std-3073,male,"group C","associate's degree",True,3073,3073
std-3074,male,"group C","high school",False,3074,3074
std-3075,male,"group B","master's degree",False,3075,3075
std-3076,male,"group B","some college",True,3076,3076
std-3077,male,"group C","some high school",False,3077,3077
std-3078,male,"group B","some college",False,3078,3078
std-3079,male,"group C","high school",True,3079,3079
std-308,male,"group E","bachelor's degree",False,308,308
std-3080,male,"group E","some college",True,3080,3080
std-3081,male,"group D","some high school",False,3081,3081
std-3082,male,"group C","some college",True,3082,3082
std-3083,male,"group D","high school",False,3083,3083
std-3084,male,"group B","high school",True,3084,3084
std-3085,male,"group B","bachelor's degree",False,3085,3085
std-3086,male,"group A","master's degree",True,3086,3086
std-3087,male,"group C","high school",False,3087,3087
std-3088,male,"group C","high school",False,3088,3088
std-3089,male,"group E","some college",True,3089,3089
std-309,male,"group E","some college",False,309,309
std-3090,male,"group A","bachelor's degree",True,3090,3090
std-3091,male,"group C","some college",False,3091,3091
std-3092,male,"group E","some college",False,3092,3092
std-3093,male,"group C","high school",False,3093,3093
std-3094,male,"group E","some college",False,3094,3094
std-3095,male,"group D","some college",False,3095,3095
std-3096,male,"group C","some college",False,3096,3096
std-3097,male,"group C","some college",False,3097,3097
std-3098,male,"group D","bachelor's degree",True,3098,3098
std-3099,male,"group C","bachelor's degree",False,3099,3099
std-31,male,"group E","some high school",True,31,31
std-310,male,"group C","associate's degree",False,310,310
std-3100,male,"group C","some high school",False,3100,3100
std-3101,male,"group E","some college",True,3101,3101
std-3102,male,"group B","high school",True,3102,3102
std-3103,male,"group C","high school",True,3103,3103
std-3104,male,"group C","associate's degree",False,3104,3104
std-3105,male,"group D","some high school",True,3105,3105
std-3106,male,"group B","high school",False,3106,3106
std-3107,male,"group B","associate's degree",False,3107,3107
std-3108,male,"group C","bachelor's degree",False,3108,3108
std-3109,male,"group B","some high school",False,3109,3109
std-311,male,"group C","some high school",False,311,311
std-3110,male,"group B","bachelor's degree",False,3110,3110
std-3111,male,"group C","associate's degree",False,3111,3111
std-3112,male,"group B","high school",False,3112,3112
std-3113,male,"group E","some college",False,3113,3113
std-3114,male,"group C","some college",True,3114,3114
std-3115,male,"group B","associate's degree",True,3115,3115
std-3116,male,"group C","some college",True,3116,3116
std-3117,male,"group D","some college",True,3117,3117
std-3118,male,"group C","high school",False,3118,3118
std-3119,male,"group B","associate's degree",False,3119,3119
std-312,male,"group C","some high school",False,312,312
std-3120,male,"group C","some high school",False,3120,3120
std-3121,male,"group D","bachelor's degree",True,3121,3121
std-3122,male,"group B","master's degree",True,3122,3122
std-3123,male,"group D","some high school",False,3123,3123
std-3124,male,"group D","some college",False,3124,3124
std-3125,male,"group D","some high school",True,3125,3125
std-3126,male,"group B","master's degree",True,3126,3126
std-3127,male,"group E","some college",True,3127,3127
std-3128,male,"group D","high school",False,3128,3128
std-3129,male,"group C","some high school",False,3129,3129
std-313,male,"group B","bachelor's degree",True,313,313
std-3130,male,"group C","some college",False,3130,3130
std-3131,male,"group D","some college",False,3131,3131
std-3132,male,"group D","bachelor's degree",False,3132,3132
std-3133,male,"group B","some high school",False,3133,3133
std-3134,male,"group B","high school",False,3134,3134
std-3135,male,"group D","some college",False,3135,3135
std-3136,male,"group D","master's degree",False,3136,3136
std-3137,male,"group C","high school",False,3137,3137
std-3138,male,"group C","some high school",False,3138,3138
std-3139,male,"group A","some high school",True,3139,3139
std-314,male,"group E","high school",False,314,314
std-3140,male,"group C","associate's degree",False,3140,3140
std-3141,male,"group E","associate's degree",False,3141,3141
std-3142,male,"group A","associate's degree",False,3142,3142
std-3143,male,"group E","bachelor's degree",True,3143,3143
std-3144,male,"group C","high school",True,3144,3144
std-3145,male,"group B","bachelor's degree",True,3145,3145
std-3146,male,"group C","some college",False,3146,3146
std-3147,male,"group C","associate's degree",False,3147,3147
std-3148,male,"group B","bachelor's degree",False,3148,3148
std-3149,male,"group B","associate's degree",True,3149,3149
std-315,male,"group C","some college",False,315,315
std-3150,male,"group C","some high school",True,3150,3150
std-3151,male,"group D","bachelor's degree",False,3151,3151
std-3152,male,"group C","some college",True,3152,3152
std-3153,male,"group E","associate's degree",False,3153,3153
std-3154,male,"group A","some high school",True,3154,3154
std-3155,male,"group D","master's degree",True,3155,3155
std-3156,male,"group C","associate's degree",False,3156,3156
std-3157,male,"group D","high school",False,3157,3157
std-3158,male,"group C","bachelor's degree",False,3158,3158
std-3159,male,"group B","master's degree",False,3159,3159
std-316,male,"group C","associate's degree",True,316,316
std-3160,male,"group C","high school",True,3160,3160
std-3161,male,"group D","high school",False,3161,3161
std-3162,male,"group D","some high school",True,3162,3162
std-3163,male,"group D","some high school",False,3163,3163
std-3164,male,"group C","master's degree",False,3164,3164
std-3165,male,"group A","high school",False,3165,3165
std-3166,male,"group C","associate's degree",True,3166,3166
std-3167,male,"group B","master's degree",True,3167,3167
std-3168,male,"group E","high school",True,3168,3168
std-3169,male,"group D","bachelor's degree",True,3169,3169
std-317,male,"group B","some college",True,317,317
std-3170,male,"group B","some college",False,3170,3170
std-3171,male,"group B","associate's degree",False,3171,3171
std-3172,male,"group D","high school",False,3172,3172
std-3173,male,"group C","some college",False,3173,3173
std-3174,male,"group A","some high school",True,3174,3174
std-3175,male,"group C","some college",False,3175,3175
std-3176,male,"group C","some high school",False,3176,3176
std-3177,male,"group C","some high school",False,3177,3177
std-3178,male,"group C","associate's degree",True,3178,3178
std-3179,male,"group E","some high school",False,3179,3179
std-318,male,"group D","bachelor's degree",True,318,318
std-3180,male,"group D","bachelor's degree",True,3180,3180
std-3181,male,"group E","some college",False,3181,3181
std-3182,male,"group C","bachelor's degree",False,3182,3182
std-3183,male,"group D","some college",False,3183,3183
std-3184,male,"group C","some college",True,3184,3184
std-3185,male,"group C","high school",False,3185,3185
std-3186,male,"group D","associate's degree",False,3186,3186
std-3187,male,"group D","bachelor's degree",True,3187,3187
