roll_no,gender,math_score,reading_score,writing_score,science_score
std-2459,male,100,62,91,86
std-2460,male,76,73,76,92
std-2462,male,62,92,80,92
std-2469,male,14,96,53,54
std-2471,male,82,77,100,81
std-2473,male,78,97,74,68
std-2478,male,71,80,97,77
std-2479,male,66,93,82,74
std-2486,male,75,100,65,46
std-2490,male,89,77,79,100
std-2491,male,52,81,100,56
std-2492,male,77,72,40,100
std-2493,male,64,37,58,97
std-2494,male,72,100,100,86
std-2495,male,34,91,67,78
std-2498,male,69,100,72,88
std-2500,male,62,97,62,100
std-2504,male,57,63,89,95
std-2507,male,100,36,54,64
std-2508,male,89,83,71,100
std-2509,male,28,59,100,98
std-2513,male,73,100,85,51
std-2514,male,71,92,76,46
std-2515,male,16,98,62,67
std-2519,male,11,91,82,76
std-2525,male,50,71,56,91
std-2528,male,56,100,88,58
std-2531,male,59,100,71,37
std-2535,male,33,63,95,30
std-2536,male,17,96,69,62
std-2537,male,71,76,29,99
std-2538,male,81,66,44,91
std-2542,male,56,60,60,100
std-2544,male,26,79,68,100
std-2546,male,49,92,87,87
std-2548,male,26,90,92,56
std-2549,male,49,91,75,70
std-2552,male,93,17,28,56
std-2553,male,19,78,98,84
std-2557,male,50,95,10,36
std-2561,male,37,81,61,93
std-2562,male,100,60,86,65
std-2567,male,48,81,40,97
std-2568,male,36,63,59,96
